material_id,source_path,material_role,score,assignment_reason,sha256
mat_0050,themes/04-Autoregression/lab/01_decoder_only_causal_toy.ipynb,lab,1.36,path_hint+keywords,47e4ffd4a3f0e7c0082210c638f32270cae7aa9f637b4275ea8ef17cbc538adb
mat_0051,themes/04-Autoregression/lab/02_decoder_only_tiny_shakespeare.ipynb,lab,1.28,path_hint+keywords,2818ec840433427b5050a0aea274428185e6501ca4386af7fc76f49714fe4a0f
mat_0052,themes/04-Autoregression/lab/02_decoder_only_tiny_shakespeare_gpu.ipynb,lab,1.24,path_hint+keywords,5a3c9f6a8638156613375e39263ace41bd33fa5c87e50c8a450d12402de103ee
mat_0053,themes/04-Autoregression/lab/guides/00_autoregression_prerequisites.md,lab_guide,0.96,path_hint+keywords,dd675a8db60405d0995ae6c4213993fa66bc2d0ed59f275735faf80d780165ab
mat_0054,themes/04-Autoregression/lab/guides/01_decoder_only_toy_walkthrough.md,lab_guide,0.96,path_hint+keywords,f3e85b9a740750f64b090cf7f909e86e6efcd7d7a6c36c57bbae9a2cd91e9bb4
mat_0055,themes/04-Autoregression/lab/guides/02_autoregression_debugging_playbook.md,lab_guide,0.84,path_hint+keywords,091d87781cfca5554546b97bbb2c0aad3debe5aa1d824eafecb9b16616f231ed
mat_0056,themes/04-Autoregression/lab/guides/03_tiny_shakespeare_walkthrough.md,lab_guide,0.84,path_hint+keywords,3c09e12c9e68fd8ccc826715eca9572fcc285e88df2a75500541ec5e620b1e53
mat_0057,themes/04-Autoregression/lab/guides/04_tiny_shakespeare_debugging_playbook.md,lab_guide,0.84,path_hint+keywords,e63f2e567fc33ca67704324a104aff2d1d6b45a168d9a483b44519c2d3652c4d
mat_0058,themes/04-Autoregression/lab/guides/05_tiny_shakespeare_gpu_walkthrough.md,lab_guide,0.88,path_hint+keywords,a9465ab666d9400b1be7beafb6bc2040acba63e02a7d48917b9c7e846c49958c
mat_0059,themes/04-Autoregression/lab/guides/06_tiny_shakespeare_gpu_debugging_playbook.md,lab_guide,0.92,path_hint+keywords,fcd59f3fb8602b8dc713c383b944830751287cf1c9abd6a2ffe198f04343132d
mat_0060,themes/04-Autoregression/lab/guides/07_lr04_local_gpu_tf221_checklist.md,lab_guide,1.0,path_hint+keywords,e54d3cd87ff357992dc97d3ae24e7f55cc86464681cbf1a932004d6b575ba891
mat_0061,themes/04-Autoregression/lab/solutions/01_decoder_only_causal_toy_solution.ipynb,lab_solution,1.36,path_hint+keywords,e2c6fb270fdb68b50a9d148490c63d3aeec3e322f6643daf6e1eb35081608588
mat_0062,themes/04-Autoregression/lab/solutions/02_decoder_only_tiny_shakespeare_gpu_solution.ipynb,lab_solution,1.28,path_hint+keywords,a5a030f8adc54561a79688b4c345962bfde3a62ef690a8d75661fd475a894d3e
mat_0063,themes/04-Autoregression/lab/solutions/02_decoder_only_tiny_shakespeare_solution.ipynb,lab_solution,1.24,path_hint+keywords,2c02d46639d8e654a0460c98dfeb4a2df354a22992a2092b938571c6157f01ee
mat_0064,themes/04-Autoregression/theory/theory.md,theory,1.4,path_hint+keywords,57b01d8d81c89d517a4be25a2e2ec9ee3b5ce00c0a1e72c2228110cec548d6e1
