material_id,source_path,material_role,score,assignment_reason
mat_0017,themes/01-RNN/lab/01_simple_rnn_many_to_one_toy.ipynb,lab,1.4,path_hint+keywords
mat_0018,themes/01-RNN/lab/02_lstm_many_to_many_toy.ipynb,lab,1.4,path_hint+keywords
mat_0019,themes/01-RNN/lab/03_gru_seq2seq_reverse_toy.ipynb,lab,1.4,path_hint+keywords
mat_0020,themes/01-RNN/lab/guides/00_prerequisites_and_notation.md,lab_guide,1.4,path_hint+keywords
mat_0021,themes/01-RNN/lab/guides/00_self_study_debugging_playbook.md,lab_guide,1.12,path_hint+keywords
mat_0022,themes/01-RNN/lab/guides/01_simple_rnn_many_to_one_beginner.md,lab_guide,1.4,path_hint+keywords
mat_0023,themes/01-RNN/lab/guides/01_simple_rnn_walkthrough.md,lab_guide,1.28,path_hint+keywords
mat_0024,themes/01-RNN/lab/guides/02_lstm_many_to_many_beginner.md,lab_guide,1.4,path_hint+keywords
mat_0025,themes/01-RNN/lab/guides/02_lstm_walkthrough.md,lab_guide,1.4,path_hint+keywords
mat_0026,themes/01-RNN/lab/guides/03_gru_seq2seq_tokens_beginner.md,lab_guide,1.4,path_hint+keywords
mat_0027,themes/01-RNN/lab/guides/03_gru_seq2seq_walkthrough.md,lab_guide,1.4,path_hint+keywords
mat_0028,themes/01-RNN/lab/solutions/01_simple_rnn_many_to_one_toy_solution.ipynb,lab_solution,1.4,path_hint+keywords
mat_0029,themes/01-RNN/lab/solutions/02_lstm_many_to_many_toy_solution.ipynb,lab_solution,1.4,path_hint+keywords
mat_0030,themes/01-RNN/lab/solutions/03_gru_seq2seq_reverse_toy_solution.ipynb,lab_solution,1.4,path_hint+keywords
mat_0031,themes/01-RNN/theory/ERRATA.md,theory,1.28,path_hint+keywords
mat_0032,themes/01-RNN/theory/theory.md,theory,1.4,path_hint+keywords
